Timestamp,n-transactions-excluding-popular
2021-05-10 00:00:00,299822
2021-05-11 00:00:00,308615
2021-05-12 00:00:00,297062
2021-05-13 00:00:00,273021
2021-05-14 00:00:00,262913
2021-05-15 00:00:00,229452
2021-05-16 00:00:00,216916
2021-05-17 00:00:00,242095
2021-05-18 00:00:00,217971
2021-05-19 00:00:00,259812
2021-05-20 00:00:00,224276
2021-05-21 00:00:00,223241
2021-05-22 00:00:00,220859
2021-05-23 00:00:00,191590
2021-05-24 00:00:00,231931
2021-05-25 00:00:00,231017
2021-05-26 00:00:00,228110
2021-05-27 00:00:00,211686
2021-05-28 00:00:00,215764
2021-05-29 00:00:00,196259
2021-05-30 00:00:00,176688
2021-05-31 00:00:00,221775
2021-06-01 00:00:00,232277
2021-06-02 00:00:00,247186
2021-06-03 00:00:00,253294
2021-06-04 00:00:00,233496
2021-06-05 00:00:00,192515
2021-06-06 00:00:00,183530
2021-06-07 00:00:00,233258
2021-06-08 00:00:00,244362
2021-06-09 00:00:00,208976
2021-06-10 00:00:00,249508
2021-06-11 00:00:00,214427
2021-06-12 00:00:00,219663
2021-06-13 00:00:00,185175
2021-06-14 00:00:00,240108
2021-06-15 00:00:00,239231
2021-06-16 00:00:00,250605
2021-06-17 00:00:00,235240
2021-06-18 00:00:00,220657
2021-06-19 00:00:00,185155
2021-06-20 00:00:00,164157
2021-06-21 00:00:00,201981
2021-06-22 00:00:00,194124
2021-06-23 00:00:00,230121
2021-06-24 00:00:00,230015
2021-06-25 00:00:00,216038
2021-06-26 00:00:00,176962
2021-06-27 00:00:00,123013
2021-06-28 00:00:00,215729
2021-06-29 00:00:00,203514
2021-06-30 00:00:00,216631
2021-07-01 00:00:00,228170
2021-07-02 00:00:00,186555
2021-07-03 00:00:00,235573
2021-07-04 00:00:00,170036
2021-07-05 00:00:00,213263
2021-07-06 00:00:00,225563
2021-07-07 00:00:00,219134
2021-07-08 00:00:00,228702
2021-07-09 00:00:00,225529
2021-07-10 00:00:00,185409
2021-07-11 00:00:00,164576
2021-07-12 00:00:00,218257
2021-07-13 00:00:00,227833
2021-07-14 00:00:00,234260
2021-07-15 00:00:00,224238
2021-07-16 00:00:00,221571
2021-07-17 00:00:00,180307
2021-07-18 00:00:00,159446
2021-07-19 00:00:00,224790
2021-07-20 00:00:00,228350
2021-07-21 00:00:00,233534
2021-07-22 00:00:00,228177
2021-07-23 00:00:00,229184
2021-07-24 00:00:00,196192
2021-07-25 00:00:00,172776
2021-07-26 00:00:00,259735
2021-07-27 00:00:00,252933
2021-07-28 00:00:00,249149
2021-07-29 00:00:00,260636
2021-07-30 00:00:00,253470
2021-07-31 00:00:00,205530
2021-08-01 00:00:00,184177
2021-08-02 00:00:00,237419
2021-08-03 00:00:00,244307
2021-08-04 00:00:00,237740
2021-08-05 00:00:00,244107
2021-08-06 00:00:00,258818
2021-08-07 00:00:00,210241
2021-08-08 00:00:00,189787
2021-08-09 00:00:00,250704
2021-08-10 00:00:00,258838
2021-08-11 00:00:00,260395
2021-08-12 00:00:00,248876
2021-08-13 00:00:00,258717
2021-08-14 00:00:00,207121
2021-08-15 00:00:00,184510
2021-08-16 00:00:00,261282
2021-08-17 00:00:00,255695
2021-08-18 00:00:00,245237
2021-08-19 00:00:00,251333
2021-08-20 00:00:00,269756
2021-08-21 00:00:00,217132
2021-08-22 00:00:00,188986
2021-08-23 00:00:00,268563
2021-08-24 00:00:00,261947
2021-08-25 00:00:00,260944
2021-08-26 00:00:00,256501
2021-08-27 00:00:00,254858
2021-08-28 00:00:00,216492
2021-08-29 00:00:00,190073
2021-08-30 00:00:00,249119
2021-08-31 00:00:00,268982
2021-09-01 00:00:00,278429
2021-09-02 00:00:00,287463
2021-09-03 00:00:00,281551
2021-09-04 00:00:00,225817
2021-09-05 00:00:00,203199
