,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
501,2021-01-21 00:00:00+00:00,35499.23,35636.17,30069.90,30879.97,550562.277,2021-01-21 23:59:59.999000+00:00,17863845664.01804,4767974,269649.681,8750951225.90137,0
502,2021-01-22 00:00:00+00:00,30875.77,33831.52,28880.00,32986.34,453568.538,2021-01-22 23:59:59.999000+00:00,14265924156.72767,4072699,225783.671,7105649881.87084,0
503,2021-01-23 00:00:00+00:00,32990.08,33495.00,31405.00,32086.48,256776.411,2021-01-23 23:59:59.999000+00:00,8300485557.20308,2533905,126744.171,4098792684.45926,0
504,2021-01-24 00:00:00+00:00,32086.48,33125.75,30914.20,32275.63,212107.044,2021-01-24 23:59:59.999000+00:00,6824806447.15319,2205550,106443.006,3426090935.55021,0
505,2021-01-25 00:00:00+00:00,32274.88,34880.00,31921.47,32253.68,316687.524,2021-01-25 23:59:59.999000+00:00,10588161978.70822,2871028,157598.395,5269771249.60753,0
506,2021-01-26 00:00:00+00:00,32253.68,32950.00,30810.00,32474.14,346861.707,2021-01-26 23:59:59.999000+00:00,11060562208.15130,3088089,172363.344,5498592866.30905,0
507,2021-01-27 00:00:00+00:00,32474.81,32562.20,29240.00,30381.04,431022.839,2021-01-27 23:59:59.999000+00:00,13269633440.99824,3665833,213394.744,6569777789.60455,0
508,2021-01-28 00:00:00+00:00,30382.96,33778.95,29843.33,33399.75,311528.373,2021-01-28 23:59:59.999000+00:00,9909261735.25709,2824829,158511.479,5044260580.57025,0
509,2021-01-29 00:00:00+00:00,33399.99,38641.10,31960.00,34269.35,713579.785,2021-01-29 23:59:59.999000+00:00,25293550971.74301,5920737,355439.304,12607381324.40294,0
510,2021-01-30 00:00:00+00:00,34267.04,34988.88,32849.06,34289.85,267861.872,2021-01-30 23:59:59.999000+00:00,9109013883.23461,2754794,133627.383,4545355581.08445,0
511,2021-01-31 00:00:00+00:00,34284.76,34393.22,32193.04,33126.21,211293.891,2021-01-31 23:59:59.999000+00:00,7052326918.52193,2233259,103318.718,3448995451.58184,0
512,2021-02-01 00:00:00+00:00,33125.11,34720.00,32322.47,33546.09,240632.325,2021-02-01 23:59:59.999000+00:00,8121385637.13714,2421173,122660.726,4140348904.80228,0
513,2021-02-02 00:00:00+00:00,33546.08,36041.00,33450.00,35504.06,239856.230,2021-02-02 23:59:59.999000+00:00,8364687573.37923,2345193,123537.063,4307892154.68184,0
514,2021-02-03 00:00:00+00:00,35504.07,37700.00,35410.00,37652.51,240308.078,2021-02-03 23:59:59.999000+00:00,5329861995.94192,2331826,121022.039,2679242481.68356,0
515,2021-02-04 00:00:00+00:00,37651.92,38833.00,36233.00,36976.93,306715.022,2021-02-04 23:59:59.999000+00:00,11507154016.35826,2825262,150086.367,5633298481.01459,0
516,2021-02-05 00:00:00+00:00,36975.19,38411.82,36586.68,38362.65,196277.444,2021-02-05 23:59:59.999000+00:00,7395595524.77548,2144343,97203.231,3663358803.14247,0
517,2021-02-06 00:00:00+00:00,38357.17,40992.40,38269.00,39249.54,310826.315,2021-02-06 23:59:59.999000+00:00,12369698321.04784,3050313,154728.277,6158712068.97440,0
518,2021-02-07 00:00:00+00:00,39249.53,39757.87,37403.27,38849.25,296721.925,2021-02-07 23:59:59.999000+00:00,11466152232.53475,2896234,143721.734,5556013185.10293,0
519,2021-02-08 00:00:00+00:00,38849.24,47146.00,38037.00,46451.32,440167.093,2021-02-08 23:59:59.999000+00:00,18769855154.62719,4374347,223454.335,9531054201.64643,0
520,2021-02-09 00:00:00+00:00,46451.32,48266.36,45057.65,46492.54,381477.426,2021-02-09 23:59:59.999000+00:00,17820342806.81088,3957333,185490.943,8668372535.76928,0
521,2021-02-10 00:00:00+00:00,46492.53,47475.00,43770.00,44850.00,334979.017,2021-02-10 23:59:59.999000+00:00,15286260787.69888,3259151,163672.458,7471185203.89336,0
522,2021-02-11 00:00:00+00:00,44850.00,48810.00,44038.97,48060.21,330540.045,2021-02-11 23:59:59.999000+00:00,15468624715.76271,3326357,164596.168,7703204734.55109,0
523,2021-02-12 00:00:00+00:00,48060.21,49278.98,46121.00,47361.03,259186.288,2021-02-12 23:59:59.999000+00:00,12341281000.02568,2862051,127514.459,6074419175.14162,0
524,2021-02-13 00:00:00+00:00,47364.00,48290.00,46252.10,47221.62,199965.397,2021-02-13 23:59:59.999000+00:00,9438075938.38798,2253613,97689.069,4611739861.20951,0
525,2021-02-14 00:00:00+00:00,47221.63,49875.16,47093.16,48655.21,241935.666,2021-02-14 23:59:59.999000+00:00,11797051402.90574,2598883,119727.737,5838366527.84185,0
526,2021-02-15 00:00:00+00:00,48655.21,49100.00,45349.21,47981.58,248960.404,2021-02-15 23:59:59.999000+00:00,11872149326.83184,2721739,119328.817,5693484067.17141,0
527,2021-02-16 00:00:00+00:00,47981.60,50953.44,47101.02,49197.94,343592.011,2021-02-16 23:59:59.999000+00:00,16865499630.28187,3477742,170702.582,8383271303.03656,0
528,2021-02-17 00:00:00+00:00,49197.93,52800.00,49029.62,52194.62,312007.458,2021-02-17 23:59:59.999000+00:00,15897490858.65766,3332737,157467.485,8026680480.35362,0
