,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
534,2021-09-01 12:54:00+00:00,47718.99000000,47737.77000000,47713.64000000,47730.76000000,12.95769000,2021-09-01 12:54:59.999000+00:00,618415.64480810,434,6.56236000,313187.87317090,0
535,2021-09-01 12:55:00+00:00,47730.77000000,47748.55000000,47730.76000000,47745.53000000,13.86654000,2021-09-01 12:55:59.999000+00:00,662000.58739290,513,6.22744000,297299.66231820,0
536,2021-09-01 12:56:00+00:00,47745.53000000,47755.31000000,47742.11000000,47742.12000000,13.76452000,2021-09-01 12:56:59.999000+00:00,657229.39390100,521,9.22640000,440539.54140980,0
537,2021-09-01 12:57:00+00:00,47742.12000000,47755.26000000,47740.01000000,47741.64000000,18.07984000,2021-09-01 12:57:59.999000+00:00,863225.62852710,610,10.25735000,489742.94295100,0
538,2021-09-01 12:58:00+00:00,47741.64000000,47741.65000000,47710.77000000,47734.45000000,26.67291000,2021-09-01 12:58:59.999000+00:00,1273053.18308800,672,13.84511000,660796.10174460,0
539,2021-09-01 12:59:00+00:00,47734.45000000,47734.46000000,47700.86000000,47707.02000000,10.21154000,2021-09-01 12:59:59.999000+00:00,487204.10943290,460,4.91392000,234435.09668950,0
540,2021-09-01 13:00:00+00:00,47707.03000000,47786.99000000,47707.03000000,47780.48000000,19.97275000,2021-09-01 13:00:59.999000+00:00,953674.26329310,680,16.67041000,795977.95226060,0
541,2021-09-01 13:01:00+00:00,47780.47000000,47788.00000000,47750.01000000,47750.01000000,10.64228000,2021-09-01 13:01:59.999000+00:00,508490.59642600,561,5.61167000,268128.26687040,0
542,2021-09-01 13:02:00+00:00,47750.01000000,47765.98000000,47734.99000000,47764.34000000,14.70333000,2021-09-01 13:02:59.999000+00:00,702120.14796950,623,6.03740000,288308.05146650,0
543,2021-09-01 13:03:00+00:00,47765.96000000,47782.48000000,47704.35000000,47704.35000000,25.78395000,2021-09-01 13:03:59.999000+00:00,1231163.63398810,755,15.46460000,738454.33925720,0
544,2021-09-01 13:04:00+00:00,47704.35000000,47726.12000000,47655.67000000,47672.04000000,52.08345000,2021-09-01 13:04:59.999000+00:00,2484037.90790940,1189,17.58690000,838731.55623900,0
545,2021-09-01 13:05:00+00:00,47672.04000000,47712.76000000,47655.00000000,47706.86000000,34.67975000,2021-09-01 13:05:59.999000+00:00,1653537.71960810,947,17.92763000,854832.11635410,0
546,2021-09-01 13:06:00+00:00,47706.87000000,47716.06000000,47685.15000000,47700.36000000,35.16673000,2021-09-01 13:06:59.999000+00:00,1677546.67757200,844,19.06351000,909415.74728460,0
547,2021-09-01 13:07:00+00:00,47700.36000000,47703.38000000,47660.00000000,47660.00000000,16.12725000,2021-09-01 13:07:59.999000+00:00,768973.01241490,537,7.44039000,354782.04951680,0
548,2021-09-01 13:08:00+00:00,47659.99000000,47691.15000000,47640.02000000,47646.79000000,27.03363000,2021-09-01 13:08:59.999000+00:00,1288534.10474300,698,12.80098000,610119.45745030,0
549,2021-09-01 13:09:00+00:00,47646.78000000,47650.00000000,47582.00000000,47641.08000000,65.46744000,2021-09-01 13:09:59.999000+00:00,3117048.95316660,1339,24.81238000,1181293.19516340,0
550,2021-09-01 13:10:00+00:00,47641.09000000,47694.24000000,47638.36000000,47679.98000000,53.54104000,2021-09-01 13:10:59.999000+00:00,2552294.57278290,850,20.55277000,979646.70455260,0
